1,2,21
2,3,59
2,4,47
3,5,24
5,6,16
6,7,39
7,8,33
8,9,38
9,10,30
10,11,13
Göteborg,Varberg,39
Varberg,Halmstad,29
Halmstad,Åstorp,36
Åstorp,10,36
Skövde,Herrljunga,35
Herrljunga,Göteborg,39
Skövde,Falköping,16
Herrljunga,Falköping,15
Falköping,Jönköping,45
Halmstad,Värnamo,99
Värnamo,8,39
Värnamo,7,59
8,Emmaboda,50
Emmaboda,Kalmar,29
9,Kristianstad,26
Kristianstad,Karlskrona,95
Karlskrona,Emmaboda,44
Jönköping,7,34
3,4,25
4,Hallsberg,31
Hallsberg,Örebro,19
Hallsberg,Skövde,42
Örebro,Arboga,21
Arboga,Västerås,28
1,Västerås,90
1,Uppsala,51
Uppsala,Gävle,59
Gävle,Sundsvall,217
Sundsvall,Ånge,73
Ånge,Östersund,64
Gävle,Ånge,165
Sundsvall,Umeå,190
Umeå,Boden,186
Boden,Gällivare,119
Gällivare,Kiruna,67
Boden,Luleå,26
Borlänge,Mora,74
Mora,Sveg,161
Sveg,Östersund,241
Östersund,Gällivare,831
Uppsala,Sala,35
Avesta,Storvik,42
Storvik,Borlänge,63
Gävle,Storvik,30
Avesta,Sala,19
Avesta,Borlänge,48
Avesta,Fagersta,24
Fagersta,Frövi,50
Frövi,Örebro,21
Frövi,Ludvika,86
Fagersta,Ludvika,45
Ludvika,Borlänge,35
Västerås,Eskilstuna,33
Eskilstuna,2,40
Eskilstuna,4,46
Eskilstuna,Arboga,26
Strömstad,Uddevalla,80
Uddevalla,Göteborg,74
Uddevalla,Trollhättan,53
Trollhättan,Göteborg,44
Trollhättan,Herrljunga,103
5,Kalmar,201
Helsingborg,Åstorp,23
Åstorp,9,39
10,Helsingborg,35
